institution,contacts_held,research,finance,it_systems,personas_held,what_is_missing,priority,institution_key
IMPEL COLLEGE OF LONDON LTD,1,0,1,0,1,Research  IT/Systems,3 - low,impel college of london ltd
Inchbald School Of Design,1,0,0,1,1,Research  Finance  ,3 - low,inchbald school of design
Institute For Fiscal Studies,1,1,0,0,1,Finance  IT/Systems,3 - low,institute for fiscal studies
Institute For Voluntary Action Research,1,1,0,0,1,Finance  IT/Systems,3 - low,institute for voluntary action research
Institute For War & Peace Reporting,1,0,1,0,1,Research  IT/Systems,3 - low,institute for war and peace reporting
Kennedy Institute Of Rheumatology,1,1,0,0,1,Finance  IT/Systems,3 - low,kennedy institute of rheumatology
University of Lancashire,1,0,1,0,1,Research  IT/Systems,3 - low,lancashire university
Leeds University Business School,1,1,0,0,1,Finance  IT/Systems,3 - low,leeds university business school
London School Of Management Education,1,1,0,0,1,Finance  IT/Systems,3 - low,london school of management education
London School Of Theology,1,1,0,0,1,Finance  IT/Systems,3 - low,london school of theology
LSE Middle East Centre,1,1,0,0,1,Finance  IT/Systems,3 - low,lse middle east centre
The University Of Manchester Law School,1,1,0,0,1,Finance  IT/Systems,3 - low,manchester law school university
Medical Research Council London Institute of Medical Sciences,1,1,0,0,1,Finance  IT/Systems,3 - low,medical research council london institute of medical sciences
Modern Slavery And Human Rights Policy And Evidence Centre,1,1,0,0,1,Finance  IT/Systems,3 - low,modern slavery and human rights policy and evidence centre
Myriad Research,1,1,0,0,1,Finance  IT/Systems,3 - low,myriad research
N8 Research Partnership,1,1,0,0,1,Finance  IT/Systems,3 - low,n8 research partnership
Newman University Birmingham,1,1,0,0,1,Finance  IT/Systems,3 - low,newman university birmingham
University Of Northampton Studentsâ€‹ Union,1,0,1,0,1,Research  IT/Systems,3 - low,northampton students union university
Orpheus Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,orpheus institute
Oxford Centre For Hindu Studies,1,1,0,0,1,Finance  IT/Systems,3 - low,oxford centre for hindu studies
PDR International Centre For Design And Research,1,1,0,0,1,Finance  IT/Systems,3 - low,pdr international centre for design and research
Qatar Computing Research Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,qatar computing research institute
Quadram Institute Bioscience,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,quadram institute bioscience
Research By Design,1,1,0,0,1,Finance  IT/Systems,3 - low,research by design
"Research England, UK Research Councils",1,0,0,0,0,Research  Finance  IT/Systems,3 - low,research england uk research councils
Roffey Park Institute,1,0,1,0,1,Research  IT/Systems,3 - low,roffey park institute
The Sainsbury Laboratory,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,sainsbury laboratory
SOAS,1,1,0,0,1,Finance  IT/Systems,3 - low,soas
Southern African Social Policy Research Institute,1,1,0,0,1,Finance  IT/Systems,3 - low,southern african social policy research institute
Southern Universities Management Services,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,southern universities management services
Stranmillis University College Belfast,1,1,0,0,1,Finance  IT/Systems,3 - low,stranmillis university college belfast
Students Union UCL,1,1,0,0,1,Finance  IT/Systems,3 - low,students union ucl
Telltale Research,1,1,0,0,1,Finance  IT/Systems,3 - low,telltale research
University of the Built Environment,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,the built environment university
UCL Centre For Advanced Research Computing,1,1,0,0,1,Finance  IT/Systems,3 - low,ucl centre for advanced research computing
UCL Faculty Of Life Sciences,1,1,0,0,1,Finance  IT/Systems,3 - low,ucl faculty of life sciences
UCL School Of Management,1,1,0,0,1,Finance  IT/Systems,3 - low,ucl school of management
University and Colleges Employers Association (UCEA),1,0,0,0,0,Research  Finance  IT/Systems,3 - low,university and colleges employers association
Wiltshire College & University Centre,1,0,1,0,1,Research  IT/Systems,3 - low,wiltshire college and university centre
Yale Law School,1,1,0,0,1,Finance  IT/Systems,3 - low,yale law school
Yorkshire Universities,1,0,0,0,0,Research  Finance  IT/Systems,3 - low,yorkshire universities
